                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.41259,                0.72514,                0.34703,                0.94001,                0.98903,                0.94514,                0.96314,                0.91565,                0.98773,                0.94389,                0.96028,                0.87259,                0.33698,                0.69458,                0.29013,                0.90866,               0.009241,               0.009241,               0.009241
                     26,                0.40508,                0.71611,                0.34454,                0.93602,                0.98691,                0.93987,                0.96061,                0.91252,                 0.9856,                0.93863,                0.95868,                0.86904,                0.33984,                0.70854,                0.29017,                 0.9192,               0.009208,               0.009208,               0.009208
                     27,                0.40552,                0.71592,                0.34337,                 0.9394,                0.98822,                0.94105,                0.95756,                0.91615,                0.98548,                0.94389,                0.95587,                0.87146,                0.32906,                0.69125,                0.29277,                0.90631,               0.009175,               0.009175,               0.009175
                     28,                0.39568,                0.70592,                 0.3351,                0.93448,                0.98177,                0.93989,                0.95627,                0.90878,                0.98306,                0.94069,                0.95326,                0.86439,                0.33554,                0.69517,                0.30534,                0.90784,               0.009142,               0.009142,               0.009142
                     29,                0.38749,                0.68269,                0.32533,                0.93261,                0.97546,                0.94157,                0.95757,                0.91062,                0.97416,                0.94032,                0.95602,                0.86529,                0.33043,                0.69602,                0.30401,                0.90571,               0.009109,               0.009109,               0.009109
                     30,                0.38912,                0.70227,                0.33154,                0.93189,                0.99084,                0.94371,                0.96033,                0.92142,                0.98822,                0.94124,                0.95611,                0.87697,                 0.3146,                0.67049,                0.29066,                0.90183,               0.009076,               0.009076,               0.009076
                     31,                 0.3837,                0.69218,                0.32439,                0.92964,                0.99341,                0.94024,                0.96188,                0.92364,                 0.9921,                0.93899,                0.96003,                0.88184,                0.31554,                0.67702,                0.27406,                0.89979,               0.009043,               0.009043,               0.009043
                     32,                0.38599,                0.69329,                0.32513,                0.93137,                0.98957,                0.94624,                0.96201,                 0.9168,                0.98826,                0.94499,                0.96098,                0.87463,                0.31365,                0.67655,                0.27291,                 0.9014,                0.00901,                0.00901,                0.00901
                     33,                0.37795,                0.68279,                0.31762,                 0.9275,                0.98952,                0.94208,                0.96238,                0.91834,                0.98647,                0.94264,                0.96015,                0.87588,                0.31318,                0.66574,                0.27383,                0.89932,               0.008977,               0.008977,               0.008977
                     34,                 0.3764,                0.67652,                0.31431,                0.92704,                0.98561,                0.93939,                0.96147,                0.91831,                 0.9843,                0.93814,                0.96028,                0.86937,                0.30741,                 0.6753,                0.28186,                0.89296,               0.008944,               0.008944,               0.008944
                     35,                0.37324,                 0.6796,                0.31705,                 0.9227,                0.98435,                0.94389,                0.95736,                0.92061,                0.98305,                0.94264,                0.95359,                0.87466,                0.30844,                0.67752,                0.27685,                0.89569,               0.008911,               0.008911,               0.008911
