epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,172.111,1.98702,2.62802,1.45161,1.14742,0.66217,0.58559,0.61012,0.26957,0.64983,0.58108,0.60084,0.24415,1.8943,2.59529,1.42845,1.21016,0.001703,0.001703,0.001703
32,177.4,1.94885,2.61798,1.42037,1.13501,0.70702,0.61261,0.64475,0.29136,0.68399,0.54955,0.58318,0.22776,1.87804,2.65725,1.44699,1.18963,0.0016931,0.0016931,0.0016931
33,182.671,1.94356,2.64658,1.35316,1.13645,0.68086,0.64414,0.6313,0.31087,0.70342,0.58559,0.60577,0.22702,1.84751,2.55923,1.40884,1.15596,0.0016832,0.0016832,0.0016832
34,187.905,1.95744,2.64503,1.43878,1.13812,0.72781,0.55404,0.60178,0.27825,0.68611,0.54955,0.58173,0.23773,1.88549,2.61396,1.59756,1.19024,0.0016733,0.0016733,0.0016733
35,193.164,1.95227,2.62271,1.40917,1.1338,0.63377,0.64701,0.64037,0.29037,0.63538,0.64865,0.61924,0.23272,1.89786,2.59461,1.39755,1.17677,0.0016634,0.0016634,0.0016634
36,198.49,1.93768,2.5669,1.37334,1.12122,0.74779,0.64865,0.64696,0.29359,0.67231,0.61261,0.61208,0.27721,1.88749,2.53081,1.38215,1.17915,0.0016535,0.0016535,0.0016535
37,203.793,1.93372,2.64355,1.4038,1.14392,0.77258,0.64272,0.68191,0.31817,0.72777,0.63514,0.65041,0.26191,1.84964,2.56931,1.35826,1.1813,0.0016436,0.0016436,0.0016436
38,209.044,1.9297,2.56499,1.34237,1.11975,0.80494,0.65062,0.70476,0.33307,0.69605,0.60811,0.6451,0.26861,1.83499,2.49925,1.3059,1.15963,0.0016337,0.0016337,0.0016337
39,214.267,1.92119,2.57041,1.36092,1.10352,0.78021,0.63962,0.70127,0.33833,0.77097,0.65315,0.70119,0.28311,1.83703,2.52468,1.35046,1.16984,0.0016238,0.0016238,0.0016238
40,219.552,1.92026,2.5539,1.36968,1.1147,0.74737,0.66629,0.6933,0.31686,0.73837,0.63063,0.65899,0.25838,1.83757,2.51272,1.34377,1.16201,0.0016139,0.0016139,0.0016139
41,224.847,1.90783,2.53717,1.33804,1.10604,0.69651,0.6513,0.68358,0.33293,0.70381,0.63063,0.67435,0.26884,1.83277,2.51861,1.32837,1.1469,0.001604,0.001604,0.001604
42,230.144,1.87654,2.53861,1.32738,1.10429,0.73475,0.63635,0.70404,0.33997,0.69304,0.53902,0.60327,0.24643,1.82258,2.52293,1.28174,1.13601,0.0015941,0.0015941,0.0015941
43,235.437,1.88077,2.53973,1.34344,1.11542,0.72417,0.65315,0.69439,0.32673,0.68766,0.65766,0.6833,0.276,1.84277,2.53493,1.30438,1.16086,0.0015842,0.0015842,0.0015842
44,240.623,1.8531,2.54361,1.2782,1.09622,0.79855,0.63964,0.72596,0.33989,0.78538,0.62637,0.70275,0.26412,1.80282,2.50129,1.27434,1.13956,0.0015743,0.0015743,0.0015743
45,245.903,1.8401,2.48804,1.2893,1.091,0.72342,0.61261,0.64714,0.301,0.69699,0.5991,0.62187,0.232,1.80179,2.5106,1.34373,1.12625,0.0015644,0.0015644,0.0015644
46,251.136,1.83956,2.51054,1.28479,1.09662,0.71921,0.61712,0.63013,0.29126,0.71293,0.6036,0.62351,0.24743,1.87576,2.59278,1.3868,1.1623,0.0015545,0.0015545,0.0015545
47,256.35,1.85531,2.50481,1.31897,1.10165,0.72852,0.56306,0.63218,0.26376,0.72792,0.57847,0.64467,0.2542,1.92487,2.53902,1.49521,1.1548,0.0015446,0.0015446,0.0015446
48,261.669,1.86225,2.4638,1.26229,1.08497,0.77208,0.68919,0.71941,0.33563,0.75328,0.66667,0.68633,0.28386,1.79545,2.45165,1.27797,1.12318,0.0015347,0.0015347,0.0015347
49,266.901,1.8573,2.51532,1.28684,1.08875,0.77344,0.6036,0.64496,0.29017,0.72062,0.54054,0.61449,0.23129,1.8658,2.56243,1.31824,1.15506,0.0015248,0.0015248,0.0015248
50,272.127,1.85233,2.50609,1.3152,1.07919,0.74896,0.6585,0.70653,0.33634,0.74054,0.56757,0.64776,0.26746,1.74938,2.54281,1.31212,1.11244,0.0015149,0.0015149,0.0015149
51,277.346,1.87215,2.5352,1.28174,1.08174,0.72383,0.53129,0.62142,0.30359,0.64183,0.57207,0.60291,0.24921,1.89129,2.53335,1.45129,1.17964,0.001505,0.001505,0.001505
52,282.565,1.8701,2.4998,1.27205,1.09002,0.73834,0.67365,0.71208,0.32995,0.74354,0.65766,0.68211,0.27273,1.82996,2.48086,1.25922,1.13962,0.0014951,0.0014951,0.0014951
