epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,185.09,1.97884,2.08258,2.18976,1.44584,0.61608,0.28967,0.28197,0.13071,0.60774,0.2785,0.27802,0.13192,1.92458,2.24935,1.95239,1.50928,0.000709299,0.000709299,0.000709299
32,190.9,1.92699,2.00201,2.10343,1.41662,0.79728,0.26718,0.3075,0.13881,0.63972,0.29738,0.3219,0.15497,2.00494,2.15574,1.89432,1.51332,0.000705176,0.000705176,0.000705176
33,196.885,1.91889,2.06381,2.12428,1.43874,0.76911,0.29861,0.30641,0.1361,0.74715,0.30764,0.29418,0.13384,1.93001,2.14491,1.86602,1.4962,0.000701053,0.000701053,0.000701053
34,202.867,1.89681,2.01107,2.05505,1.39118,0.60385,0.30367,0.27816,0.13394,0.61948,0.32624,0.29827,0.16279,1.93778,2.10986,1.95876,1.47795,0.000696929,0.000696929,0.000696929
35,208.688,1.9115,2.03633,2.03838,1.39666,0.65719,0.27166,0.28482,0.14681,0.62243,0.25951,0.28433,0.1457,1.85473,2.10987,1.87176,1.43855,0.000692806,0.000692806,0.000692806
36,214.49,1.8705,2.0076,2.01022,1.3871,0.64026,0.29565,0.28809,0.13579,0.62407,0.28063,0.26834,0.1405,1.9239,2.08963,1.93915,1.48484,0.000688683,0.000688683,0.000688683
37,220.339,1.85515,1.91926,2.00779,1.39572,0.6409,0.29513,0.30913,0.15806,0.64777,0.29922,0.32132,0.16588,1.82761,2.08788,1.8137,1.42141,0.000684559,0.000684559,0.000684559
38,226.363,1.83742,1.96327,1.97609,1.37307,0.70924,0.3266,0.3055,0.15395,0.6812,0.31595,0.30067,0.15962,1.8491,2.02016,1.82078,1.4519,0.000680436,0.000680436,0.000680436
39,232.074,1.84117,1.98893,1.93496,1.3704,0.76773,0.30569,0.30844,0.15636,0.76398,0.30257,0.31783,0.16277,1.80614,2.08595,1.8611,1.41356,0.000676313,0.000676313,0.000676313
40,237.796,1.82217,1.97933,1.97515,1.36868,0.78456,0.32203,0.31974,0.15697,0.62805,0.30119,0.30236,0.14842,1.82654,2.05236,1.80172,1.40391,0.000672189,0.000672189,0.000672189
41,243.595,1.79965,1.93786,1.90703,1.36239,0.7646,0.32764,0.32013,0.15219,0.70703,0.36758,0.31741,0.1619,1.83073,2.13268,1.78403,1.42018,0.000668066,0.000668066,0.000668066
42,249.368,1.78415,1.95973,1.8895,1.34531,0.71232,0.29852,0.31645,0.15272,0.69698,0.28487,0.30476,0.1433,1.83965,2.0599,1.7765,1.43246,0.000663943,0.000663943,0.000663943
43,255.186,1.7786,1.88868,1.87367,1.36046,0.79132,0.33365,0.33704,0.15757,0.74066,0.33185,0.31964,0.16338,1.78403,2.1827,1.8396,1.40923,0.000659819,0.000659819,0.000659819
44,260.973,1.76013,1.96019,1.86942,1.34058,0.67904,0.31914,0.31569,0.15494,0.68294,0.3241,0.32132,0.15874,1.80752,2.04231,1.75726,1.426,0.000655696,0.000655696,0.000655696
45,266.749,1.74572,1.9355,1.85286,1.3442,0.67794,0.33389,0.34086,0.17542,0.66695,0.32072,0.33125,0.17355,1.8106,2.06717,1.79155,1.42395,0.000651573,0.000651573,0.000651573
46,272.544,1.7529,1.90803,1.86312,1.31756,0.54129,0.33787,0.32098,0.15702,0.54107,0.33891,0.33005,0.17681,1.7554,2.06498,1.85574,1.39023,0.000647449,0.000647449,0.000647449
47,278.34,1.7764,1.89404,1.87981,1.32425,0.5976,0.36205,0.34879,0.1835,0.46634,0.36215,0.34054,0.17796,1.74009,1.94465,1.72815,1.37672,0.000643326,0.000643326,0.000643326
48,284.178,1.74725,1.90159,1.80834,1.33884,0.62138,0.33984,0.33737,0.16527,0.51411,0.34904,0.34329,0.18055,1.8252,2.01677,1.77715,1.4216,0.000639203,0.000639203,0.000639203
49,289.98,1.78184,1.92301,1.80685,1.33534,0.67236,0.29397,0.30317,0.1529,0.64845,0.29641,0.28984,0.15085,1.72605,2.07731,1.78797,1.36611,0.000635079,0.000635079,0.000635079
50,295.832,1.70892,1.88031,1.77641,1.30984,0.50023,0.35874,0.33026,0.16602,0.66152,0.28507,0.29929,0.16252,1.7541,1.991,1.79338,1.37496,0.000630956,0.000630956,0.000630956
51,301.632,1.76291,1.88027,1.78737,1.33701,0.52376,0.34892,0.35033,0.17828,0.65868,0.36147,0.3628,0.19091,1.76268,1.95487,1.74056,1.38136,0.000626832,0.000626832,0.000626832
52,307.39,1.71028,1.89622,1.72601,1.32577,0.61971,0.35791,0.32284,0.16199,0.57837,0.33672,0.28864,0.14764,1.7621,2.00228,1.83442,1.38364,0.000622709,0.000622709,0.000622709
53,313.106,1.71049,1.89166,1.78736,1.30805,0.71404,0.34138,0.3498,0.18258,0.85105,0.26796,0.34604,0.18547,1.73524,1.93069,1.69098,1.38054,0.000618586,0.000618586,0.000618586
54,318.907,1.69543,1.91749,1.74416,1.30142,0.58783,0.36078,0.36065,0.18653,0.54268,0.36303,0.36136,0.18249,1.70835,1.97749,1.6775,1.36884,0.000614462,0.000614462,0.000614462
55,324.697,1.68959,1.86747,1.74165,1.28333,0.71887,0.37629,0.34752,0.17348,0.57335,0.37666,0.33512,0.15577,1.72792,1.99995,1.73186,1.36728,0.000610339,0.000610339,0.000610339
56,330.476,1.68233,1.81322,1.71902,1.28118,0.77913,0.30182,0.32346,0.16891,0.77128,0.2916,0.32429,0.16965,1.70588,2.03166,1.86639,1.36697,0.000606216,0.000606216,0.000606216
57,336.184,1.71671,1.81742,1.72504,1.32165,0.68077,0.33937,0.33399,0.17252,0.66267,0.32604,0.31324,0.16972,1.75348,2.03997,1.86775,1.41552,0.000602092,0.000602092,0.000602092
58,341.795,1.67371,1.86446,1.70743,1.28854,0.64091,0.35329,0.36933,0.17757,0.58254,0.33209,0.34576,0.17297,1.73876,1.99391,1.70095,1.382,0.000597969,0.000597969,0.000597969
59,347.605,1.65596,1.81904,1.682,1.27744,0.57827,0.35002,0.37666,0.183,0.56311,0.33682,0.36065,0.18687,1.69613,1.98794,1.65375,1.35555,0.000593846,0.000593846,0.000593846
60,353.393,1.65906,1.8095,1.65235,1.29512,0.6713,0.3914,0.36503,0.18107,0.6514,0.37585,0.33882,0.18055,1.69515,2.03069,1.71833,1.34048,0.000589722,0.000589722,0.000589722
61,359.177,1.62918,1.79097,1.6643,1.28499,0.691,0.33799,0.34948,0.18096,0.67493,0.32306,0.34093,0.19022,1.69609,1.97089,1.66028,1.34439,0.000585599,0.000585599,0.000585599
62,364.931,1.65193,1.79169,1.66858,1.27326,0.65701,0.35167,0.35827,0.18162,0.629,0.33797,0.33222,0.1806,1.65225,1.99878,1.6209,1.32968,0.000581476,0.000581476,0.000581476
63,370.844,1.6018,1.77729,1.63048,1.26852,0.66281,0.35176,0.35672,0.18308,0.79457,0.26901,0.32155,0.17343,1.71029,1.9503,1.67548,1.35462,0.000577352,0.000577352,0.000577352
64,376.576,1.61562,1.67056,1.5801,1.24618,0.80282,0.31911,0.33404,0.17616,0.63874,0.32394,0.3235,0.17411,1.71187,2.02568,1.70981,1.36609,0.000573229,0.000573229,0.000573229
65,382.38,1.62265,1.76723,1.60762,1.26625,0.66368,0.31977,0.34719,0.18416,0.65252,0.31319,0.33782,0.17832,1.70549,1.96265,1.72194,1.34697,0.000569106,0.000569106,0.000569106
66,388.075,1.59627,1.75053,1.59536,1.25722,0.618,0.35362,0.31636,0.15537,0.62469,0.35991,0.33005,0.16735,1.74704,2.04786,1.80765,1.36669,0.000564982,0.000564982,0.000564982
67,393.826,1.61047,1.79282,1.60227,1.24941,0.4302,0.34371,0.34575,0.18036,0.4219,0.36209,0.33186,0.17624,1.6883,2.01867,1.67773,1.34596,0.000560859,0.000560859,0.000560859
68,399.585,1.5968,1.81621,1.62106,1.22744,0.64173,0.36299,0.37121,0.18794,0.641,0.36749,0.36419,0.18172,1.68988,2.03887,1.7128,1.32911,0.000556736,0.000556736,0.000556736
69,405.395,1.56939,1.77547,1.57971,1.22583,0.66427,0.31515,0.32947,0.17201,0.53052,0.31499,0.32597,0.17898,1.70523,1.99859,1.68659,1.36439,0.000552612,0.000552612,0.000552612
70,411.191,1.62531,1.77837,1.59798,1.27482,0.58741,0.36418,0.36412,0.19064,0.55319,0.35003,0.3471,0.18204,1.66713,1.97204,1.68507,1.35203,0.000548489,0.000548489,0.000548489
71,416.963,1.565,1.72758,1.54738,1.24199,0.58688,0.36869,0.37378,0.19527,0.56882,0.34852,0.3483,0.19006,1.68529,1.90825,1.62027,1.34015,0.000544365,0.000544365,0.000544365
72,422.742,1.58624,1.75052,1.53295,1.24583,0.52257,0.36659,0.36318,0.18925,0.46406,0.36902,0.35519,0.18448,1.69316,1.98639,1.69181,1.34179,0.000540242,0.000540242,0.000540242
73,428.566,1.56934,1.74011,1.52782,1.24274,0.30495,0.36286,0.37954,0.19215,0.26786,0.35802,0.34214,0.18569,1.71911,1.96575,1.60237,1.37064,0.000536119,0.000536119,0.000536119
74,434.358,1.58936,1.69018,1.55267,1.24475,0.55162,0.46329,0.35526,0.17936,0.53025,0.44622,0.32975,0.18001,1.69386,2.00441,1.79003,1.3739,0.000531995,0.000531995,0.000531995
75,440.169,1.56146,1.73537,1.49261,1.23006,0.45115,0.37683,0.35692,0.17936,0.4281,0.35149,0.31644,0.17058,1.70275,2.00687,1.74813,1.37673,0.000527872,0.000527872,0.000527872
76,445.973,1.55534,1.75694,1.4978,1.24576,0.47723,0.385,0.37331,0.19629,0.42897,0.37193,0.34831,0.18568,1.71263,1.96708,1.61967,1.36676,0.000523749,0.000523749,0.000523749
77,451.844,1.55384,1.70819,1.52985,1.24154,0.58795,0.36255,0.34876,0.1737,0.54868,0.34238,0.32254,0.16919,1.72536,1.99948,1.71094,1.37132,0.000519625,0.000519625,0.000519625
78,457.661,1.54653,1.7173,1.51217,1.22958,0.6998,0.35438,0.36294,0.17617,0.63768,0.3207,0.32049,0.16064,1.67968,2.09161,1.68989,1.34986,0.000515502,0.000515502,0.000515502
79,463.455,1.55532,1.75722,1.49962,1.23967,0.49121,0.39801,0.35568,0.19202,0.42697,0.36548,0.32075,0.17391,1.64965,2.02478,1.63379,1.32816,0.000511379,0.000511379,0.000511379
80,469.26,1.55127,1.68546,1.52419,1.21761,0.60532,0.38095,0.36463,0.18099,0.58301,0.37389,0.35078,0.17628,1.72729,1.95198,1.62583,1.37739,0.000507255,0.000507255,0.000507255
81,475.118,1.57326,1.70902,1.49776,1.21582,0.68158,0.33917,0.33627,0.18072,0.64186,0.32236,0.3216,0.17489,1.7232,1.99317,1.71721,1.37939,0.000503132,0.000503132,0.000503132
82,480.918,1.5271,1.69161,1.47471,1.21401,0.71064,0.33853,0.31803,0.15649,0.64272,0.29853,0.29014,0.15071,1.71659,1.96636,1.79957,1.36642,0.000499009,0.000499009,0.000499009
83,486.77,1.53082,1.72084,1.52608,1.22812,0.48776,0.36522,0.3668,0.1833,0.47277,0.34306,0.33413,0.18194,1.73233,1.96846,1.60505,1.35777,0.000494885,0.000494885,0.000494885
84,492.638,1.52047,1.67032,1.46142,1.20634,0.57699,0.37414,0.35576,0.18902,0.54497,0.35407,0.33075,0.18183,1.65972,2.06978,1.70126,1.37637,0.000490762,0.000490762,0.000490762
85,498.465,1.50529,1.69934,1.46026,1.20748,0.75518,0.34588,0.3758,0.19286,0.73774,0.29497,0.34286,0.17899,1.69523,1.98404,1.57273,1.37697,0.000486639,0.000486639,0.000486639
86,504.264,1.53923,1.70273,1.46936,1.19204,0.45325,0.3526,0.35077,0.17819,0.43583,0.33252,0.33263,0.17984,1.69403,1.99383,1.65217,1.35523,0.000482515,0.000482515,0.000482515
87,510.083,1.49943,1.68475,1.44122,1.19578,0.55641,0.34137,0.35446,0.18034,0.53973,0.33988,0.3382,0.18183,1.66007,1.98762,1.62226,1.35164,0.000478392,0.000478392,0.000478392
88,515.878,1.50676,1.67408,1.44934,1.19888,0.34823,0.36572,0.36254,0.19426,0.32999,0.35296,0.34446,0.17634,1.63757,2.01589,1.57583,1.32024,0.000474269,0.000474269,0.000474269
89,521.925,1.50391,1.67685,1.37425,1.20039,0.33428,0.37266,0.35048,0.18066,0.3211,0.37889,0.35019,0.17411,1.65489,2.00527,1.66283,1.33943,0.000470145,0.000470145,0.000470145
90,527.735,1.48739,1.63292,1.40409,1.19014,0.71693,0.34692,0.34599,0.17847,0.57166,0.35824,0.33822,0.179,1.71344,1.95265,1.60418,1.36736,0.000466022,0.000466022,0.000466022
91,533.526,1.52042,1.64177,1.42261,1.21806,0.31818,0.39256,0.33404,0.16486,0.32183,0.37563,0.31397,0.16815,1.67106,1.97798,1.72502,1.35014,0.000461898,0.000461898,0.000461898
92,539.359,1.50691,1.71639,1.41984,1.21312,0.51754,0.34641,0.34493,0.17756,0.28592,0.34833,0.29298,0.15615,1.66797,2.03306,1.74621,1.33198,0.000457775,0.000457775,0.000457775
93,545.171,1.47535,1.65474,1.40896,1.18654,0.30941,0.368,0.3403,0.17543,0.29852,0.36775,0.32703,0.17095,1.64992,1.95176,1.67724,1.33868,0.000453652,0.000453652,0.000453652
94,550.884,1.46176,1.65607,1.38339,1.18943,0.40984,0.39174,0.33197,0.16977,0.3992,0.38525,0.30802,0.16127,1.66962,1.96722,1.72688,1.34004,0.000449528,0.000449528,0.000449528
95,556.701,1.46768,1.66937,1.39887,1.18742,0.46702,0.36123,0.34197,0.17743,0.31306,0.35448,0.33722,0.17302,1.68936,1.94738,1.64371,1.36707,0.000445405,0.000445405,0.000445405
96,562.512,1.48613,1.67984,1.38541,1.1865,0.56057,0.3541,0.34411,0.17988,0.56692,0.35605,0.35723,0.19796,1.70078,1.93061,1.57845,1.3606,0.000441282,0.000441282,0.000441282
97,568.372,1.47686,1.58971,1.39291,1.19587,0.32586,0.38861,0.32943,0.17505,0.31367,0.39563,0.32764,0.17961,1.69758,1.99174,1.63439,1.36028,0.000437158,0.000437158,0.000437158
98,574.201,1.45892,1.63281,1.38063,1.17893,0.4662,0.34714,0.34833,0.19213,0.46741,0.34749,0.35033,0.19284,1.72412,1.96535,1.65435,1.39362,0.000433035,0.000433035,0.000433035
99,579.924,1.49852,1.62742,1.38218,1.18261,0.3378,0.38274,0.31631,0.18339,0.33434,0.37475,0.31868,0.17718,1.66976,1.96943,1.81295,1.35207,0.000428912,0.000428912,0.000428912
100,585.602,1.44989,1.5891,1.36675,1.18526,0.5202,0.37264,0.37973,0.19941,0.5106,0.35355,0.3659,0.19592,1.6991,1.96857,1.67893,1.37401,0.000424788,0.000424788,0.000424788
101,591.423,1.49087,1.66154,1.43052,1.20858,0.30153,0.38117,0.33108,0.17654,0.25685,0.36786,0.31379,0.16244,1.63648,1.98316,1.66876,1.32247,0.000420665,0.000420665,0.000420665
102,597.163,1.45557,1.61892,1.33764,1.17174,0.41352,0.39603,0.35185,0.18579,0.39584,0.3866,0.32842,0.1803,1.68408,1.92469,1.68389,1.35003,0.000416542,0.000416542,0.000416542
103,602.937,1.46881,1.59478,1.35892,1.16991,0.33035,0.3693,0.3602,0.1908,0.30409,0.36277,0.32464,0.17977,1.66001,1.95095,1.65356,1.3477,0.000412418,0.000412418,0.000412418
104,608.781,1.44492,1.58168,1.35592,1.16881,0.37364,0.42077,0.38013,0.20438,0.33335,0.41893,0.36845,0.19194,1.69413,1.92356,1.59026,1.36632,0.000408295,0.000408295,0.000408295
105,614.559,1.4574,1.61554,1.35693,1.18054,0.32712,0.38336,0.36897,0.19999,0.46403,0.31114,0.33386,0.18557,1.66566,1.98257,1.66896,1.33651,0.000404172,0.000404172,0.000404172
106,620.428,1.46026,1.64299,1.34252,1.17137,0.44937,0.40539,0.36741,0.19994,0.31206,0.4209,0.34947,0.1877,1.63741,2.00623,1.66471,1.35187,0.000400048,0.000400048,0.000400048
107,626.227,1.44016,1.62784,1.30139,1.16278,0.31235,0.37713,0.35975,0.20202,0.32556,0.39475,0.3622,0.20667,1.68258,1.97048,1.65394,1.36918,0.000395925,0.000395925,0.000395925
108,632.08,1.45747,1.58877,1.34094,1.18778,0.3603,0.34258,0.34294,0.18178,0.35246,0.31287,0.3255,0.17634,1.65738,1.96586,1.63883,1.32748,0.000391802,0.000391802,0.000391802
109,637.969,1.43229,1.57299,1.32059,1.15375,0.46777,0.36697,0.35243,0.18984,0.58697,0.31878,0.33336,0.18068,1.6524,2.02123,1.65356,1.3414,0.000387678,0.000387678,0.000387678
110,643.857,1.41042,1.58685,1.33265,1.15346,0.29755,0.42806,0.35156,0.18836,0.28327,0.39414,0.32703,0.16423,1.68472,2.00201,1.62496,1.35417,0.000383555,0.000383555,0.000383555
111,649.612,1.42061,1.60007,1.30022,1.15759,0.44421,0.33118,0.3381,0.18544,0.4803,0.32545,0.32371,0.17708,1.66661,1.99159,1.59207,1.35183,0.000379431,0.000379431,0.000379431
112,655.442,1.4374,1.63966,1.31646,1.15308,0.67778,0.35393,0.36638,0.18785,0.63555,0.33295,0.35479,0.18188,1.69342,1.89518,1.62584,1.36707,0.000375308,0.000375308,0.000375308
113,661.22,1.43242,1.56153,1.3101,1.16383,0.28956,0.40502,0.34472,0.18106,0.41314,0.39811,0.3409,0.18625,1.67849,1.94017,1.63836,1.34251,0.000371185,0.000371185,0.000371185
114,667.123,1.39707,1.53814,1.26018,1.15304,0.41818,0.31966,0.33127,0.17993,0.44793,0.33845,0.33758,0.17655,1.62933,2.00146,1.6318,1.33275,0.000367061,0.000367061,0.000367061
115,672.885,1.43579,1.61124,1.32665,1.15452,0.31193,0.34108,0.32793,0.17992,0.30963,0.33724,0.32468,0.17136,1.66179,1.94623,1.62816,1.34055,0.000362938,0.000362938,0.000362938
116,678.59,1.40066,1.5576,1.26157,1.15625,0.43351,0.37195,0.33567,0.17459,0.43263,0.36808,0.33779,0.16908,1.67132,1.97755,1.65487,1.37041,0.000358815,0.000358815,0.000358815
117,684.184,1.39871,1.53404,1.27928,1.15359,0.47366,0.3885,0.35959,0.19512,0.44146,0.35859,0.34199,0.17926,1.6103,1.99069,1.5476,1.31276,0.000354691,0.000354691,0.000354691
118,689.854,1.40559,1.5829,1.28462,1.14614,0.3249,0.37616,0.35586,0.19633,0.32334,0.36405,0.33299,0.18021,1.60275,1.953,1.58235,1.30577,0.000350568,0.000350568,0.000350568
119,695.663,1.40803,1.58941,1.31463,1.14907,0.27524,0.35457,0.31739,0.1678,0.25711,0.34145,0.30107,0.15236,1.67578,2.0626,1.73088,1.34971,0.000346445,0.000346445,0.000346445
120,701.454,1.37668,1.56219,1.22916,1.14778,0.32191,0.40327,0.33928,0.1801,0.29277,0.39361,0.31343,0.16889,1.64986,1.93265,1.58631,1.34526,0.000342321,0.000342321,0.000342321
121,707.234,1.39805,1.57893,1.24488,1.15909,0.31415,0.3805,0.34267,0.19248,0.29877,0.36846,0.33257,0.17441,1.63356,2.01062,1.62908,1.32425,0.000338198,0.000338198,0.000338198
122,713.027,1.35392,1.51525,1.25262,1.1264,0.46246,0.40925,0.35182,0.19306,0.33227,0.40604,0.34598,0.17208,1.68919,1.95009,1.60771,1.36367,0.000334075,0.000334075,0.000334075
123,718.896,1.39076,1.58791,1.23633,1.14058,0.29281,0.41908,0.35377,0.18681,0.28404,0.39978,0.34164,0.1741,1.65579,1.99301,1.5546,1.34833,0.000329951,0.000329951,0.000329951
124,724.694,1.33592,1.56494,1.21411,1.13261,0.32693,0.36891,0.35528,0.18942,0.31521,0.35572,0.34009,0.18097,1.61909,1.96311,1.64584,1.34562,0.000325828,0.000325828,0.000325828
125,730.434,1.40913,1.61285,1.28458,1.14018,0.31592,0.40354,0.36241,0.20073,0.3076,0.39523,0.35936,0.19221,1.63694,2.0129,1.63263,1.33816,0.000321705,0.000321705,0.000321705
126,736.259,1.35525,1.50707,1.22949,1.12771,0.28087,0.41811,0.36792,0.20064,0.4535,0.36142,0.3555,0.19121,1.61182,2.0135,1.52787,1.3268,0.000317581,0.000317581,0.000317581
127,742.158,1.35726,1.53378,1.24031,1.11904,0.3734,0.37669,0.36447,0.18904,0.3658,0.36801,0.35865,0.18442,1.66035,2.01692,1.59108,1.34275,0.000313458,0.000313458,0.000313458
128,747.933,1.35086,1.49649,1.23488,1.13011,0.46917,0.37648,0.35564,0.18142,0.46159,0.38988,0.35416,0.18625,1.64666,2.00626,1.58728,1.33854,0.000309335,0.000309335,0.000309335
129,753.732,1.34631,1.52429,1.21369,1.13272,0.3544,0.35863,0.35526,0.19543,0.3526,0.362,0.3579,0.19749,1.67905,1.962,1.60909,1.37355,0.000305211,0.000305211,0.000305211
130,759.437,1.34729,1.54404,1.22147,1.1394,0.46048,0.39775,0.35862,0.18537,0.4315,0.39289,0.33879,0.18371,1.66713,1.98541,1.63867,1.34908,0.000301088,0.000301088,0.000301088
131,765.24,1.35678,1.53289,1.19637,1.1381,0.46809,0.35794,0.34119,0.17368,0.44719,0.33173,0.3246,0.17188,1.70416,2.01299,1.65868,1.35324,0.000296964,0.000296964,0.000296964
