Model Path,Type,Precision,Recall,F1,mAP50,mAP50-95,Params(M),FLOPs(G),"Infer Time (ms, CPU)"
horse_models_lite_all/PCC_body_feature/weights/best.pt,weights,0.8648267620265411,0.7522522522522522,0.8046210157920294,0.7902695684712525,0.38425630783330755,2.824643,5.32163456,58.716535568237305
horse_models_lite_all/PCC_head_feature/weights/best.pt,weights,,,,,,,,
horse_models_lite_all/PCC_horse/weights/best.pt,weights,0.9881216797084829,0.9463840399002493,0.966802607691099,0.9612165713858717,0.9210681556780219,2.824643,5.32163456,59.24272537231445
horse_models_lite_all/PCC_limb-feature/weights/best.pt,weights,,,,,,,,
horse_models_lite_all/PCC_part/weights/best.pt,weights,0.9857587217393743,0.940149625935162,0.962414119679813,0.9631800411730626,0.920534989484439,2.825618,5.32432256,67.74640083312988
horse_models_lite_all/orin_body_feature/weights/best.pt,weights,0.8423282500883866,0.7792792792792793,0.8095780757769623,0.7936751304958002,0.3962843531996497,3.258259,5.98656,66.02168083190918
horse_models_lite_all/orin_head_feature/weights/best.pt,weights,,,,,,,,
horse_models_lite_all/orin_horse/weights/best.pt,weights,0.9919224452156572,0.9438902743142145,0.9673104629051236,0.9656933862081546,0.9361071668724872,3.258259,5.98656,63.26889991760254
horse_models_lite_all/orin_limb-feature/weights/best.pt,weights,,,,,,,,
horse_models_lite_all/orin_part/weights/best.pt,weights,0.985688012901169,0.9446219582098406,0.9647181591200747,0.9666016385608951,0.934802071236815,3.259234,5.989248,62.41607666015625
