epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,730.444,0.56054,0.82451,0.46661,1.05416,0.96968,0.91715,0.94135,0.84071,0.96704,0.91465,0.93839,0.79457,0.5477,0.97257,0.47141,1.09732,0.0085645,0.0085645,0.0085645
31,754.611,0.55152,0.81025,0.45543,1.05306,0.96366,0.92587,0.94822,0.84864,0.96107,0.92338,0.94281,0.80631,0.54813,0.96997,0.4465,1.08591,0.008515,0.008515,0.008515
32,778.091,0.54512,0.79609,0.44953,1.04205,0.97035,0.93851,0.94793,0.85202,0.96906,0.93726,0.94619,0.80953,0.52961,0.92784,0.43603,1.08508,0.0084655,0.0084655,0.0084655
33,801.544,0.53423,0.78583,0.43666,1.03818,0.98091,0.91646,0.9494,0.85143,0.98091,0.91646,0.94854,0.81023,0.52468,0.92036,0.44561,1.08264,0.008416,0.008416,0.008416
34,825.383,0.53366,0.78981,0.44234,1.03539,0.97772,0.93017,0.95016,0.85741,0.97772,0.93017,0.9411,0.81421,0.50808,0.89747,0.42876,1.05671,0.0083665,0.0083665,0.0083665
35,849.843,0.52505,0.77883,0.43578,1.03403,0.96892,0.93281,0.9488,0.85828,0.96892,0.93281,0.948,0.82189,0.5049,0.89049,0.43337,1.05921,0.008317,0.008317,0.008317
36,874.363,0.51841,0.77507,0.43028,1.03137,0.95639,0.92967,0.94757,0.8459,0.95382,0.92717,0.94171,0.80739,0.52469,0.92006,0.44685,1.08318,0.0082675,0.0082675,0.0082675
37,898.436,0.51354,0.76433,0.42301,1.02192,0.97022,0.92643,0.95343,0.86656,0.97153,0.92768,0.94836,0.82853,0.5059,0.90347,0.4256,1.06001,0.008218,0.008218,0.008218
38,922.35,0.50929,0.76954,0.42525,1.0215,0.98909,0.91771,0.95445,0.87221,0.98909,0.91771,0.95312,0.83045,0.49405,0.87353,0.42494,1.04224,0.0081685,0.0081685,0.0081685
39,946.333,0.50215,0.7542,0.41414,1.01797,0.97904,0.93516,0.95298,0.86801,0.97391,0.93392,0.94589,0.82627,0.4852,0.88517,0.39868,1.03622,0.008119,0.008119,0.008119
40,970.22,0.49437,0.75106,0.41255,1.01432,0.97313,0.93392,0.95552,0.87373,0.97409,0.93267,0.95195,0.83182,0.48477,0.89408,0.39207,1.03719,0.0080695,0.0080695,0.0080695
41,994.216,0.49064,0.73742,0.40751,1.01118,0.98033,0.93222,0.95693,0.87824,0.97902,0.93097,0.9516,0.83278,0.48432,0.86756,0.40455,1.04005,0.00802,0.00802,0.00802
42,1018.37,0.48734,0.73764,0.39958,1.00709,0.9753,0.93564,0.95977,0.86838,0.9753,0.93564,0.95888,0.82683,0.49795,0.86618,0.40297,1.04882,0.0079705,0.0079705,0.0079705
43,1042.28,0.48274,0.72722,0.39977,1.00549,0.95953,0.91635,0.94012,0.85978,0.95327,0.92269,0.93627,0.81952,0.48055,0.87515,0.42532,1.02296,0.007921,0.007921,0.007921
44,1065.61,0.48022,0.73868,0.39732,1.0029,0.97014,0.93186,0.95002,0.86578,0.97017,0.93271,0.94396,0.82157,0.48397,0.92151,0.40426,1.03042,0.0078715,0.0078715,0.0078715
45,1089.34,0.47834,0.723,0.39312,1.00263,0.9741,0.93799,0.95634,0.88254,0.9741,0.93799,0.95276,0.8435,0.47023,0.84702,0.38718,1.02336,0.007822,0.007822,0.007822
46,1112.8,0.47032,0.72244,0.38974,0.9964,0.97565,0.9389,0.95351,0.88175,0.97305,0.93641,0.94997,0.83834,0.46135,0.86221,0.38484,1.01658,0.0077725,0.0077725,0.0077725
47,1136.64,0.46989,0.73,0.39244,0.99828,0.97747,0.93142,0.94828,0.8815,0.97693,0.93017,0.94807,0.83747,0.45542,0.87702,0.39187,1.01442,0.007723,0.007723,0.007723
48,1160.55,0.46714,0.72456,0.38694,0.99401,0.97137,0.9389,0.95142,0.87098,0.97008,0.93766,0.94669,0.82914,0.46522,0.86182,0.39249,1.01788,0.0076735,0.0076735,0.0076735
49,1184.35,0.4682,0.71656,0.39008,0.99583,0.9625,0.94015,0.9499,0.87955,0.9625,0.94015,0.94682,0.82744,0.46229,0.86962,0.38771,1.0178,0.007624,0.007624,0.007624
50,1208.29,0.46075,0.70685,0.38127,0.98977,0.97199,0.9414,0.95433,0.88089,0.97164,0.9397,0.94779,0.83454,0.45292,0.84037,0.3819,1.00306,0.0075745,0.0075745,0.0075745
51,1231.81,0.45465,0.70605,0.38025,0.98687,0.976,0.9414,0.95184,0.88266,0.9747,0.94015,0.95071,0.83732,0.45538,0.84844,0.37999,1.01142,0.007525,0.007525,0.007525
52,1255.5,0.45275,0.69599,0.37166,0.98413,0.97787,0.93665,0.955,0.87854,0.97657,0.9354,0.95013,0.82992,0.45647,0.87061,0.36884,1.01072,0.0074755,0.0074755,0.0074755
53,1278.9,0.44706,0.70605,0.37311,0.97995,0.97277,0.9389,0.95345,0.88544,0.97166,0.94065,0.949,0.84381,0.44389,0.8625,0.37747,1.00017,0.007426,0.007426,0.007426
54,1302.36,0.4414,0.69105,0.36777,0.98129,0.9754,0.9395,0.9542,0.88869,0.97786,0.93629,0.95203,0.84139,0.43192,0.84089,0.37066,0.99252,0.0073765,0.0073765,0.0073765
55,1326.16,0.44522,0.69937,0.36803,0.98063,0.98141,0.9389,0.95243,0.88242,0.9801,0.93766,0.94508,0.83282,0.4399,0.86118,0.37357,1.00257,0.007327,0.007327,0.007327
56,1350.04,0.44046,0.69865,0.36551,0.97537,0.96636,0.93125,0.95444,0.88578,0.96248,0.92751,0.94882,0.84061,0.45129,0.86301,0.38815,1.00007,0.0072775,0.0072775,0.0072775
57,1373.2,0.43655,0.68915,0.36548,0.97722,0.96779,0.93673,0.95609,0.88699,0.96651,0.93549,0.94994,0.84529,0.44707,0.82265,0.37516,1.0025,0.007228,0.007228,0.007228
58,1396.72,0.43764,0.68637,0.36185,0.97504,0.97676,0.93392,0.95467,0.88694,0.97502,0.93142,0.94825,0.84372,0.44344,0.81372,0.37278,1.00087,0.0071785,0.0071785,0.0071785
59,1420.69,0.43369,0.69514,0.36073,0.97307,0.96933,0.92519,0.95105,0.8799,0.97063,0.92643,0.94801,0.83132,0.45597,0.84641,0.38533,1.0036,0.007129,0.007129,0.007129
